	"output/RSEM/NGS128_S21.genes.results"	"output/RSEM/NGS130_S23.genes.results"
"20269"	0.00	0.00
"20271"	0.00	0.00
"20272"	0.00	0.00
"20273"	0.00	0.00
"20274"	0.00	0.00
"20276"	0.00	0.00
"20277"	0.00	0.00
"20278"	0.00	0.00
"20280"	0.00	0.00
"20284"	0.00	0.00
"20286"	0.00	0.00
"20287"	0.00	0.00
"20288"	0.00	0.00
"20289"	0.00	0.00
"20290"	0.00	0.00
"20292"	0.00	0.00
"20293"	0.00	0.00
"20295"	0.00	0.00
"20296"	0.00	0.00
"20297"	0.00	0.00
"20299"	0.00	0.00
"20300"	0.00	0.00
"20301"	0.00	0.00
"20302"	0.00	0.00
"20303"	0.00	0.00
"20304"	0.00	0.00
"20305"	0.00	0.00
"20306"	0.00	0.00
"20307"	0.00	0.00
"20308"	0.00	0.00
"20309"	0.00	0.00
"20310"	0.00	0.00
"20311"	0.00	0.00
"20312"	0.00	0.00
"20315"	0.00	0.00
"20316"	0.00	0.00
"20317"	0.00	0.00
"20318"	0.00	0.00
"20319"	0.00	0.00
"20320"	0.00	0.00
"20321"	0.00	0.00
"20322"	0.00	0.00
"20324"	0.00	0.00
"20333"	0.00	0.00
"20334"	0.00	0.00
"20335"	0.00	0.00
"20336"	0.00	0.00
"20338"	0.00	0.00
"20339"	0.00	0.00
"20340"	0.00	0.00
"20341"	0.00	0.00
"20342"	0.00	0.00
"20343"	0.00	0.00
"20344"	0.00	0.00
"20345"	0.00	0.00
"20346"	0.00	0.00
"20347"	0.00	0.00
"20348"	0.00	0.00
"20349"	0.00	0.00
"20350"	0.00	0.00
"20351"	0.00	0.00
"20352"	0.00	0.00
"20353"	0.00	0.00
"20354"	0.00	0.00
"20355"	0.00	0.00
"20356"	0.00	0.00
"20357"	0.00	0.00
"20358"	0.00	0.00
"20359"	0.00	0.00
"20360"	0.00	0.00
"20361"	0.00	0.00
"20362"	0.00	0.00
"20363"	0.00	0.00
"20364"	0.00	0.00
"20365"	0.00	0.00
"20370"	0.00	0.00
"20371"	0.00	0.00
"20375"	0.00	0.00
"20377"	0.00	0.00
"20378"	0.00	0.00
"20379"	0.00	0.00
"20382"	0.00	0.00
"20383"	0.00	0.00
"20384"	0.00	0.00
"20387"	0.00	0.00
"20388"	0.00	0.00
"20389"	0.00	0.00
"20390"	0.00	0.00
"20391"	0.00	0.00
"20392"	0.00	0.00
"20393"	0.00	0.00
"20394"	0.00	0.00
"20397"	0.00	0.00
"20399"	0.00	0.00
"20400"	0.00	0.00
"20401"	0.00	0.00
"20402"	0.00	0.00
"20403"	0.00	0.00
"20404"	0.00	0.00
"20405"	0.00	0.00
"20408"	0.00	0.00
"20409"	0.00	0.00
"20410"	0.00	0.00
"20411"	0.00	0.00
"20415"	0.00	0.00
"20416"	0.00	0.00
"20418"	0.00	0.00
"20419"	0.00	0.00
"20420"	0.00	0.00
"20422"	0.00	0.00
"20423"	0.00	0.00
"20425"	0.00	0.00
"20429"	0.00	0.00
"20430"	0.00	0.00
"20431"	0.00	0.00
"20437"	0.00	0.00
"20438"	0.00	0.00
"20439"	0.00	0.00
"20440"	0.00	0.00
"20441"	0.00	0.00
"20442"	0.00	0.00
"20443"	0.00	0.00
"20444"	0.00	0.00
"20445"	0.00	0.00
"20446"	0.00	0.00
"20447"	0.00	0.00
"20448"	0.00	0.00
"20449"	0.00	0.00
"20450"	0.00	0.00
"20451"	0.00	0.00
"20452"	0.00	0.00
"20454"	0.00	0.00
"20459"	0.00	0.00
"20460"	0.00	0.00
"20462"	0.00	0.00
"20463"	0.00	0.00
"20464"	0.00	0.00
"20465"	0.00	0.00
"20466"	0.00	0.00
"20467"	0.00	0.00
"20469"	0.00	0.00
"20471"	0.00	0.00
"20472"	0.00	0.00
"20473"	0.00	0.00
"20474"	0.00	0.00
"20475"	0.00	0.00
"20476"	0.00	0.00
"20479"	0.00	0.00
"20480"	0.00	0.00
"20481"	0.00	0.00
"20482"	0.00	0.00
"20491"	0.00	0.00
"20492"	0.00	0.00
"20493"	0.00	0.00
"20494"	0.00	0.00
"20495"	0.00	0.00
"20496"	0.00	0.00
"20497"	0.00	0.00
"20498"	0.00	0.00
"20499"	0.00	0.00
"20500"	0.00	0.00
"20501"	0.00	0.00
"20502"	0.00	0.00
"20503"	0.00	0.00
"20504"	0.00	0.00
"20505"	0.00	0.00
"20508"	0.00	0.00
"20509"	0.00	0.00
"20510"	0.00	0.00
"20511"	0.00	0.00
"20512"	0.00	0.00
"20513"	0.00	0.00
"20514"	0.00	0.00
"20515"	0.00	0.00
"20516"	0.00	0.00
"20517"	0.00	0.00
"20518"	0.00	0.00
"20519"	0.00	0.00
"20520"	0.00	0.00
"20521"	0.00	0.00
"20522"	0.00	0.00
"20523"	0.00	0.00
"20524"	0.00	0.00
"20525"	0.00	0.00
"20526"	0.00	0.00
"20527"	0.00	0.00
"20528"	0.00	0.00
"20529"	0.00	0.00
"20530"	0.00	0.00
"20531"	0.00	0.00
"20532"	0.00	0.00
"20533"	0.00	0.00
"20534"	0.00	0.00
"20535"	0.00	0.00
"20536"	0.00	0.00
"20537"	0.00	0.00
"20538"	0.00	0.00
"20539"	0.00	0.00
"20540"	0.00	0.00
"20541"	0.00	0.00
"20544"	0.00	0.00
"20555"	0.00	0.00
"20556"	0.00	0.00
"20557"	0.00	0.00
"20558"	0.00	0.00
"20562"	0.00	0.00
"20563"	0.00	0.00
"20564"	0.00	0.00
"20568"	0.00	0.00
"20583"	0.00	0.00
"20585"	0.00	0.00
"20586"	0.00	0.00
"20587"	0.00	0.00
"20588"	0.00	0.00
"20589"	0.00	0.00
"20591"	0.00	0.00
"20592"	0.00	0.00
"20595"	0.00	0.00
"20597"	0.00	0.00
"20598"	0.00	0.00
"20599"	0.00	0.00
"20600"	0.00	0.00
"20602"	0.00	0.00
"20603"	0.00	0.00
"20604"	0.00	0.00
"20605"	0.00	0.00
"20606"	0.00	0.00
"20607"	0.00	0.00
"20608"	0.00	0.00
"20609"	0.00	0.00
"20610"	0.00	0.00
"20611"	0.00	0.00
"20612"	0.00	0.00
"20613"	0.00	0.00
"20614"	0.00	0.00
"20615"	0.00	0.00
"20616"	0.00	0.00
"20617"	0.00	0.00
"20618"	0.00	0.00
"20619"	0.00	0.00
"20620"	0.00	0.00
"20621"	0.00	0.00
"20623"	0.00	0.00
"20624"	0.00	0.00
"20630"	0.00	0.00
"20637"	0.00	0.00
"20638"	0.00	0.00
"20639"	0.00	0.00
"20641"	0.00	0.00
"20643"	0.00	0.00
"20646"	0.00	0.00
"20648"	0.00	0.00
"20649"	0.00	0.00
"20650"	0.00	0.00
"20652"	0.00	0.00
"20655"	0.00	0.00
"20656"	0.00	0.00
"20657"	0.00	0.00
"20658"	0.00	0.00
"20660"	0.00	0.00
"20661"	0.00	0.00
"20662"	0.00	0.00
"20663"	0.00	8.00
"20664"	0.00	0.00
"20665"	0.00	0.00
"20666"	0.00	0.00
"20667"	0.00	0.00
"20668"	0.00	0.00
"20669"	0.00	0.00
"20670"	0.00	0.00
"20671"	0.00	0.00
"20672"	0.00	0.00
"20674"	0.00	0.00
"20675"	0.00	0.00
"20677"	0.00	0.00
"20678"	0.00	0.00
"20679"	0.00	0.00
"20680"	0.00	0.00
"20681"	0.00	0.00
"20682"	0.00	0.00
"20683"	0.00	0.00
"20684"	0.00	0.00
"20686"	0.00	0.00
"20687"	0.00	0.00
"20688"	0.00	0.00
"20689"	0.00	0.00
"20690"	0.00	0.00
"20692"	0.00	0.00
"20698"	0.00	0.00
"20700"	0.00	0.00
"20701"	0.00	0.00
"20702"	0.00	0.00
"20703"	0.00	0.00
"20704"	0.00	0.00
"20706"	0.00	0.00
"20707"	0.00	0.00
"20708"	0.00	0.00
"20709"	0.00	0.00
"20710"	0.00	0.00
"20713"	0.00	0.00
"20714"	0.00	0.00
"20715"	0.00	0.00
"207151"	0.00	0.00
"20716"	0.00	0.00
"207165"	1.00	0.00
"20717"	0.00	0.00
"207175"	0.00	0.00
"207181"	0.00	0.00
"207182"	0.00	0.00
"20719"	0.00	0.00
"20720"	0.00	0.00
"207209"	0.00	0.00
"207212"	0.00	0.00
"207213"	0.00	0.00
"207214"	0.00	0.00
"207215"	0.00	0.00
"207227"	0.00	0.00
"20723"	0.00	0.00
"20724"	0.00	0.00
"20725"	0.00	0.00
"207259"	0.00	0.00
"20726"	0.00	0.00
"207278"	0.00	0.00
"20728"	0.00	0.00
"20729"	0.00	0.00
"20730"	0.00	0.00
"207304"	0.00	0.00
"20731"	0.00	0.00
"20732"	0.00	0.00
"20733"	0.00	0.00
"207352"	0.00	0.00
"20737"	0.00	0.00
"207375"	0.00	0.00
"20739"	0.00	0.00
"207393"	0.00	0.00
"20740"	0.00	241.00
"20741"	0.00	0.00
"20742"	2.00	0.00
"207425"	0.00	0.00
"20743"	0.00	0.00
"20744"	0.00	0.00
"20745"	0.00	0.00
"20747"	0.00	0.00
"207474"	0.00	0.00
"207495"	0.00	0.00
"20750"	0.00	0.00
"20751"	0.00	0.00
"207521"	0.00	0.00
"20753"	0.00	0.00
"20754"	0.00	0.00
"20755"	0.00	0.00
"20756"	0.00	0.00
"207565"	0.00	0.00
"20758"	0.00	0.00
"20759"	0.00	0.00
"207592"	0.00	0.00
"207596"	0.00	0.00
"20760"	0.00	0.00
"207607"	0.00	0.00
"207615"	0.00	0.00
"207618"	0.00	0.00
"20762"	0.00	0.00
"20763"	0.00	0.00
"20765"	0.00	0.00
"20766"	0.00	0.00
"207667"	0.00	0.00
"20768"	0.00	0.00
"207683"	0.00	0.00
"207686"	0.00	0.00
"20770"	0.00	0.00
"207704"	0.00	0.00
"207728"	0.00	0.00
"20773"	0.00	0.00
"207740"	0.00	0.00
"207742"	0.00	0.00
"20775"	0.00	0.00
"20776"	0.00	0.00
"207777"	0.00	0.00
"20778"	0.00	0.00
"207781"	0.00	0.00
"207785"	0.00	0.00
"20779"	0.00	0.00
"207792"	0.00	0.00
"207798"	0.00	0.00
"207806"	0.00	0.00
"207818"	0.00	0.00
"207819"	0.00	0.00
"207839"	0.00	0.00
"207854"	0.00	0.00
"20787"	0.00	0.00
"20788"	2.00	1.00
"207911"	0.00	0.00
"207920"	0.00	0.00
"207921"	0.00	0.00
"207932"	0.00	0.00
"207952"	0.00	0.00
"207958"	0.00	0.00
"207965"	0.00	0.00
"208043"	0.00	0.00
"20807"	0.00	0.00
"208076"	0.00	0.00
"208080"	0.00	0.00
"208092"	0.00	0.00
"208098"	0.00	0.00
"20810"	0.00	0.00
"208104"	0.00	0.00
"20811"	0.00	0.00
"208111"	0.00	0.00
"208117"	0.00	0.00
"20813"	0.00	0.00
"208144"	0.00	0.00
"208146"	0.00	0.00
"20815"	7.00	14.00
"208151"	0.00	0.00
"208154"	0.00	0.00
"208158"	0.00	0.00
"208164"	0.00	0.00
"208166"	0.00	0.00
"208169"	0.00	0.00
"20817"	0.00	0.00
"208171"	0.00	0.00
"208177"	0.00	0.00
"20818"	0.00	0.00
"208188"	0.00	0.00
"208194"	0.00	0.00
"208198"	0.00	0.00
"20821"	0.00	0.00
"208211"	0.00	0.00
"208213"	0.00	0.00
"20822"	0.00	0.00
"208228"	0.00	0.00
"20823"	0.00	0.00
"208258"	0.00	0.00
"20826"	0.00	0.00
"208263"	0.00	0.00
"208266"	0.00	0.00
"208285"	0.00	0.00
"208292"	0.00	0.00
"20832"	0.00	0.00
"20833"	0.00	0.00
"20834"	0.00	0.00
"208366"	0.00	0.00
"208372"	0.00	0.00
"20840"	0.00	0.00
"20841"	0.00	0.00
"20842"	0.00	0.00
"208426"	0.00	0.00
"20843"	0.00	0.00
"208431"	0.00	0.00
"208439"	0.00	0.00
"20844"	0.00	0.00
"208440"	0.00	0.00
"208449"	0.00	0.00
"20845"	0.00	0.00
"20846"	0.00	0.00
"20847"	0.00	0.00
"20848"	0.00	0.00
"20849"	0.00	0.00
"20850"	0.00	0.00
"208501"	0.00	0.00
"20851"	0.00	0.00
"208518"	0.00	0.00
"20852"	0.00	0.00
"20853"	0.00	0.00
"20855"	0.00	0.00
"20856"	0.00	0.00
"208583"	0.00	0.00
"20859"	0.00	0.00
"208595"	0.00	0.00
"20860"	0.00	0.00
"208606"	0.00	0.00
"20861"	0.00	0.00
"208613"	0.00	0.00
"208618"	0.00	0.00
"20862"	0.00	0.00
"208624"	0.00	0.00
"208628"	0.00	0.00
"20863"	0.00	0.00
"208634"	0.00	0.00
"208638"	0.00	0.00
"208643"	0.00	0.00
"208647"	0.00	0.00
"208650"	0.00	0.00
"208659"	0.00	0.00
"20866"	0.00	0.00
"208665"	0.00	0.00
"208666"	0.00	0.00
"20867"	0.00	0.00
"208677"	0.00	0.00
"20868"	0.00	0.00
"20869"	0.00	0.00
"208691"	0.00	0.00
"20871"	0.00	0.00
"208715"	0.00	0.00
"208718"	0.00	0.00
"20872"	0.00	0.00
"208727"	0.00	0.00
"20873"	0.00	0.00
"20874"	0.00	0.00
"208748"	0.00	0.00
"208760"	0.00	0.00
"208768"	0.00	0.00
"20877"	0.00	0.00
"208777"	0.00	0.00
"20878"	0.00	0.00
"208795"	0.00	0.00
"208820"	0.00	0.00
"208836"	0.00	0.00
"208846"	0.00	0.00
"208869"	0.00	0.00
"20887"	0.00	0.00
"20888"	0.00	0.00
"208884"	0.00	0.00
"208890"	0.00	0.00
"208898"	0.00	0.00
"20890"	0.00	0.00
"208908"	0.00	0.00
"20892"	0.00	0.00
"208922"	0.00	0.00
"20893"	0.00	0.00
"208936"	0.00	0.00
"208943"	0.00	0.00
"208967"	0.00	0.00
"208968"	0.00	0.00
"20897"	0.00	0.00
"208982"	0.00	0.00
"20899"	0.00	0.00
"208990"	0.00	0.00
"208994"	0.00	0.00
"209003"	0.00	0.00
"209005"	0.00	0.00
"20901"	0.00	0.00
"209011"	0.00	0.00
"209012"	0.00	0.00
"209018"	0.00	0.00
"209027"	0.00	0.00
"209032"	0.00	0.00
"209039"	0.00	0.00
"209047"	0.00	0.00
"20907"	0.00	0.00
"20908"	0.00	4.00
"209086"	0.00	0.00
"20909"	0.00	0.00
"209091"	0.00	0.00
"20910"	0.00	0.00
"20911"	0.00	0.00
"20912"	0.00	0.00
"20913"	0.00	0.00
"209131"	0.00	0.00
"20916"	0.00	0.00
"20917"	0.00	0.00
"209176"	0.00	0.00
"20918"	0.00	0.00
"209186"	0.00	0.00
"209195"	677.00	8773.00
"209200"	0.00	0.00
"209212"	0.00	0.00
"20922"	0.00	0.00
"209224"	0.00	0.00
"209225"	0.00	0.00
"209232"	0.00	0.00
"209239"	0.00	0.00
"20924"	0.00	0.00
"20926"	0.00	0.00
"209268"	0.00	0.00
"20927"	0.00	0.00
"20928"	0.00	0.00
"209294"	0.00	0.00
"20930"	0.00	0.00
"20931"	0.00	0.00
"209318"	0.00	0.00
"20932"	0.00	0.00
"20933"	0.00	0.00
"209334"	0.00	0.00
"20935"	0.00	0.00
"209351"	0.00	0.00
"209354"	0.00	0.00
"209357"	0.00	0.00
"209361"	0.00	0.00
"20937"	0.00	0.00
"209378"	0.00	0.00
"209387"	0.00	0.00
"20939"	0.00	0.00
"20941"	0.00	0.00
"209416"	0.00	0.00
"20944"	0.00	0.00
"209446"	0.00	0.00
"209448"	0.00	0.00
"20945"	0.00	0.00
"209456"	0.00	0.00
"209462"	0.00	0.00
"20947"	0.00	0.00
"209478"	0.00	0.00
"209488"	0.00	0.00
"209497"	0.00	0.00
"209512"	0.00	0.00
"209513"	0.00	0.00
"209517"	0.00	0.00
"209540"	0.00	0.00
"209550"	0.00	0.00
"209558"	0.00	0.00
"20957"	0.00	0.00
"209584"	0.00	0.00
"209586"	0.00	0.00
"209588"	0.00	0.00
"209590"	0.00	0.00
"209601"	0.00	0.00
"20962"	0.00	0.00
"20963"	0.00	0.00
"209630"	0.00	0.00
"20964"	0.00	377.00
"209645"	0.00	0.00
"20965"	0.00	0.00
"209683"	0.00	0.00
"20969"	0.00	0.00
"209692"	0.00	0.00
"20970"	58.00	26.00
"209707"	0.00	0.00
"20971"	0.00	0.00
"20972"	0.00	0.00
"20973"	0.00	0.00
"209737"	0.00	0.00
"20974"	0.00	0.00
"209743"	0.00	0.00
"20975"	0.00	0.00
"209760"	0.00	0.00
"20977"	0.00	0.00
"209773"	0.00	0.00
"209776"	0.00	0.00
"20979"	0.00	0.00
"20980"	0.00	0.00
"20981"	0.00	0.00
"209815"	0.00	0.00
"209824"	0.00	0.00
"20983"	0.00	0.00
"209837"	0.00	0.00
"209966"	0.00	0.00
"20997"	0.00	0.00
"210004"	0.00	0.00
"210009"	0.00	0.00
"210027"	0.00	0.00
"210029"	0.00	0.00
"210035"	0.00	0.00
"210044"	0.00	0.00
"210045"	0.00	0.00
"210094"	0.00	0.00
"210104"	0.00	0.00
"210105"	0.00	0.00
"210106"	0.00	0.00
"210108"	0.00	0.00
"210126"	0.00	0.00
"210135"	0.00	0.00
"210145"	0.00	0.00
"210146"	0.00	0.00
"210148"	0.00	0.00
"210155"	0.00	0.00
"210162"	0.00	0.00
"210172"	0.00	0.00
"210198"	0.00	0.00
"210274"	0.00	0.00
"210293"	0.00	0.00
"210297"	0.00	0.00
"210321"	0.00	0.00
"210356"	0.00	0.00
"210376"	0.00	0.00
"210417"	0.00	0.00
"210463"	0.00	0.00
"210503"	0.00	0.00
"210510"	0.00	0.00
"210529"	0.00	0.00
"210530"	0.00	0.00
"210535"	0.00	0.00
"210544"	0.00	0.00
"210554"	0.00	0.00
"210573"	0.00	0.00
"210582"	0.00	0.00
"210622"	0.00	0.00
"210673"	0.00	0.00
"210710"	0.00	0.00
"210711"	0.00	0.00
"210719"	0.00	0.00
"210741"	0.00	0.00
"210757"	0.00	0.00
"210762"	0.00	0.00
"210766"	0.00	0.00
"210789"	0.00	0.00
"210801"	0.00	0.00
"210808"	0.00	0.00
"210853"	0.00	0.00
"210876"	0.00	0.00
"210933"	0.00	0.00
"210940"	0.00	0.00
"210962"	0.00	0.00
"210973"	0.00	0.00
"210982"	0.00	0.00
"210992"	0.00	0.00
"210998"	0.00	0.00
"211006"	0.00	0.00
"211007"	0.00	0.00
"211064"	0.00	0.00
"211134"	0.00	0.00
"211135"	0.00	0.00
"211147"	0.00	0.00
"211151"	0.00	0.00
"211187"	0.00	0.00
"211208"	0.00	0.00
"211223"	0.00	0.00
"211228"	0.00	0.00
"211232"	0.00	0.00
"211253"	0.00	0.00
"211255"	0.00	0.00
"211286"	0.00	0.00
"211305"	0.00	0.00
"211323"	0.00	0.00
"211329"	0.00	0.00
"211347"	0.00	0.00
"211378"	0.00	0.00
"211383"	0.00	0.00
"211389"	0.00	0.00
"211401"	0.00	0.00
"211429"	0.00	0.00
"211446"	0.00	0.00
"211468"	0.00	0.00
"211472"	0.00	0.00
"211480"	0.00	0.00
"211482"	0.00	0.00
"211484"	0.00	0.00
"211488"	0.00	0.00
"211499"	0.00	0.00
"211548"	0.00	0.00
"211550"	0.00	0.00
"211556"	0.00	0.00
"211577"	0.00	0.00
"211578"	0.00	0.00
"211586"	0.00	0.00
"211612"	0.00	0.00
"211623"	0.00	0.00
"211651"	0.00	0.00
"211652"	0.00	0.00
"211660"	0.00	0.00
"211666"	0.00	0.00
"211673"	0.00	0.00
"211712"	0.00	0.00
"211739"	0.00	0.00
"211770"	0.00	0.00
"211798"	0.00	0.00
"211896"	0.00	0.00
"211914"	0.00	0.00
"211922"	0.00	0.00
"211924"	0.00	0.00
"211936"	0.00	0.00
"211945"	0.00	0.00
"211948"	0.00	0.00
"211949"	0.00	0.00
"211961"	0.00	0.00
"211978"	0.00	0.00
"211986"	0.00	0.00
"212032"	0.00	0.00
"212070"	0.00	0.00
"212073"	0.00	0.00
"212085"	0.00	0.00
"212090"	0.00	0.00
"212108"	0.00	0.00
"212111"	0.00	0.00
"212114"	0.00	0.00
"212123"	0.00	0.00
"212124"	0.00	0.00
"212127"	17.00	0.00
"212139"	0.00	0.00
"212153"	0.00	0.00
"212163"	0.00	0.00
"212167"	0.00	0.00
"212168"	0.00	0.00
"212190"	0.00	0.00
"212198"	0.00	0.00
"212276"	0.00	0.00
"212281"	0.00	0.00
"212285"	0.00	0.00
"212307"	0.00	0.00
"212326"	0.00	0.00
"212377"	0.00	0.00
"212390"	0.00	0.00
"212391"	0.00	0.00
"212392"	0.00	0.00
"212398"	0.00	0.00
"212439"	0.00	0.00
"212442"	0.00	0.00
"212448"	0.00	0.00
"212483"	0.00	0.00
"212503"	0.00	0.00
"212508"	0.00	0.00
"212514"	0.00	0.00
"212516"	0.00	0.00
"212517"	0.00	0.00
"212518"	0.00	0.00
"212528"	0.00	0.00
"212531"	0.00	0.00
"212539"	0.00	0.00
"212541"	0.00	0.00
"212547"	0.00	0.00
"212555"	0.00	0.00
"212569"	0.00	0.00
"212627"	0.00	0.00
"212632"	0.00	0.00
"212647"	0.00	0.00
"212670"	0.00	0.00
"212679"	0.00	0.00
"212706"	0.00	0.00
"212712"	0.00	0.00
"212728"	0.00	0.00
"212733"	0.00	0.00
"212772"	0.00	0.00
"212862"	0.00	0.00
"212880"	0.00	10.00
"212892"	0.00	0.00
"212898"	0.00	0.00
"212919"	0.00	0.00
"212933"	0.00	0.00
"212937"	0.00	0.00
"212943"	0.00	0.00
"212952"	0.00	0.00
"212974"	0.00	0.00
"212980"	0.00	0.00
"212986"	0.00	0.00
"212989"	0.00	0.00
"212996"	0.00	0.00
"212998"	0.00	0.00
"212999"	0.00	0.00
"213002"	0.00	0.00
"213006"	0.00	0.00
"213011"	0.00	0.00
"213012"	0.00	0.00
"213019"	0.00	0.00
"213043"	0.00	0.00
"213053"	0.00	0.00
"213054"	0.00	0.00
"213056"	0.00	0.00
"213068"	0.00	0.00
"213081"	0.00	0.00
"213084"	0.00	0.00
"213109"	9.00	8.00
"213119"	0.00	0.00
"213121"	0.00	0.00
"213171"	0.00	0.00
"213208"	0.00	0.00
"213211"	0.00	0.00
"213233"	0.00	0.00
"213234"	0.00	0.00
"213236"	0.00	0.00
"213248"	0.00	0.00
"213262"	0.00	0.00
"213272"	0.00	0.00
"21331"	0.00	0.00
"213311"	0.00	0.00
"213326"	0.00	0.00
"21333"	0.00	0.00
"21334"	0.00	0.00
"21335"	0.00	0.00
"213350"	0.00	0.00
"21336"	0.00	0.00
"21337"	0.00	0.00
"21338"	0.00	0.00
"213389"	0.00	0.00
"213391"	0.00	0.00
"213393"	0.00	0.00
"21340"	0.00	0.00
"213409"	0.00	0.00
"21341"	0.00	0.00
"213417"	0.00	0.00
"21343"	0.00	0.00
"213435"	0.00	0.00
"213436"	0.00	0.00
"213438"	0.00	0.00
"213439"	0.00	0.00
"213449"	0.00	0.00
"21345"	0.00	0.00
"213450"	0.00	0.00
"213452"	0.00	0.00
"21346"	0.00	0.00
"213464"	0.00	0.00
"213469"	0.00	0.00
"213484"	0.00	0.00
"21349"	0.00	0.00
"213491"	0.00	0.00
"213498"	0.00	0.00
"213499"	0.00	0.00
"21350"	0.00	0.00
"21351"	0.00	0.00
"213522"	0.00	0.00
"213527"	0.00	0.00
"21353"	0.00	0.00
"213539"	0.00	0.00
"21354"	0.00	0.00
"213541"	0.00	0.00
"21355"	0.00	0.00
"213550"	0.00	0.00
"213556"	0.00	0.00
"21356"	0.00	0.00
"21357"	0.00	0.00
"213573"	0.00	0.00
"213575"	0.00	0.00
"213582"	4.00	2.00
"213603"	0.00	0.00
"213649"	0.00	0.00
"21366"	0.00	1.00
"21367"	0.00	0.00
"213673"	0.00	0.00
"213696"	0.00	0.00
"21371"	0.00	0.00
"21372"	0.00	0.00
"21374"	0.00	0.00
"21375"	0.00	0.00
"213753"	0.00	0.00
"21376"	0.00	0.00
"213760"	0.00	0.00
"213765"	0.00	0.00
"213773"	0.00	0.00
"213783"	0.00	0.00
"213788"	0.00	0.00
"21379"	0.00	0.00
"21380"	0.00	0.00
"213819"	0.00	0.00
"213827"	0.00	0.00
"21384"	0.00	0.00
"21385"	0.00	0.00
"21386"	0.00	0.00
"21387"	0.00	0.00
"21388"	0.00	0.00
"21389"	0.00	0.00
"213895"	0.00	0.00
"21390"	0.00	0.00
"21391"	0.00	0.00
"21393"	0.00	0.00
"213945"	0.00	0.00
"213948"	0.00	0.00
"213956"	0.00	0.00
"213980"	0.00	0.00
"213988"	2.00	0.00
"213989"	0.00	0.00
"21399"	0.00	0.00
"213990"	0.00	0.00
"213993"	0.00	0.00
"21400"	0.00	0.00
"21401"	0.00	0.00
"21402"	0.00	0.00
"214048"	0.00	0.00
"21405"	0.00	0.00
"214058"	0.00	0.00
"21406"	0.00	0.00
"214063"	0.00	0.00
"21407"	0.00	0.00
"21408"	0.00	0.00
"214084"	0.00	0.00
"21410"	0.00	0.00
"214105"	0.00	0.00
"214106"	0.00	0.00
"21411"	0.00	0.00
"214111"	137.00	4745.00
"214112"	0.00	0.00
"21412"	0.00	0.00
"21413"	0.00	0.00
"214133"	0.00	0.00
"214137"	0.00	0.00
"21414"	0.00	0.00
"21415"	0.00	0.00
"214150"	0.00	0.00
"214158"	0.00	0.00
"21416"	0.00	0.00
"21417"	0.00	43.00
"21418"	0.00	0.00
"214189"	0.00	0.00
"21419"	0.00	0.00
"214191"	0.00	0.00
"21420"	0.00	0.00
"21422"	0.00	0.00
"21423"	0.00	0.00
"214230"	0.00	0.00
"214239"	0.00	0.00
"214240"	0.00	0.00
"21425"	0.00	0.00
"214253"	0.00	0.00
"214254"	0.00	0.00
"21426"	0.00	0.00
"21427"	706.00	181.00
"21428"	0.00	0.00
"21429"	0.00	0.00
"214290"	0.00	0.00
"214292"	0.00	0.00
"214301"	0.00	0.00
"214305"	0.00	0.00
"21432"	0.00	0.00
"214321"	0.00	0.00
"214345"	0.00	0.00
"214359"	0.00	0.00
"214384"	0.00	0.00
"214403"	0.00	0.00
"214424"	0.00	0.00
"214425"	0.00	0.00
"214444"	0.00	0.00
"214459"	0.00	0.00
"214469"	0.00	0.00
"214489"	0.00	0.00
"214498"	0.00	0.00
"214505"	0.00	0.00
"21452"	0.00	0.00
"214523"	0.00	0.00
"21453"	0.00	0.00
"214531"	0.00	0.00
"21454"	0.00	0.00
"214547"	0.00	0.00
"214552"	0.00	0.00
"214568"	0.00	0.00
"214572"	0.00	0.00
"214575"	0.00	0.00
"214579"	0.00	0.00
"214580"	0.00	0.00
"214585"	0.00	0.00
"214593"	0.00	0.00
"214597"	0.00	0.00
"214601"	0.00	0.00
"21461"	0.00	0.00
"21462"	0.00	0.00
"214627"	0.00	0.00
"21463"	0.00	0.00
"214639"	0.00	0.00
"214642"	0.00	0.00
"214663"	0.00	0.00
"214669"	0.00	0.00
"214685"	0.00	0.00
"214704"	0.00	0.00
"214742"	0.00	0.00
"214763"	0.00	0.00
"214764"	0.00	0.00
"214766"	0.00	0.00
"214779"	0.00	0.00
"214791"	0.00	0.00
"214804"	0.00	0.00
"214812"	19.00	11.00
"214854"	0.00	0.00
"214855"	0.00	0.00
"214895"	0.00	0.00
"214897"	0.00	0.00
"214899"	0.00	0.00
"214901"	0.00	0.00
"214917"	0.00	0.00
"214922"	0.00	0.00
"214931"	0.00	0.00
"214932"	0.00	0.00
"214944"	0.00	0.00
"214951"	0.00	0.00
"214952"	0.00	0.00
"214968"	0.00	0.00
"214987"	0.00	0.00
"215001"	0.00	0.00
"215008"	0.00	0.00
"215015"	0.00	0.00
"215028"	0.00	0.00
"215029"	0.00	0.00
"215031"	0.00	0.00
"215051"	0.00	0.00
"215061"	0.00	0.00
"215085"	0.00	0.00
"215090"	0.00	0.00
"215095"	0.00	0.00
"215113"	0.00	0.00
"215114"	0.00	0.00
"215160"	0.00	0.00
"215193"	0.00	0.00
"215194"	0.00	0.00
"215201"	0.00	0.00
"215210"	0.00	0.00
"215243"	0.00	0.00
"215257"	0.00	0.00
